,232_type_of_store,5_change_store_space_last_year,6_change_employees_average_salary_last_year,49_inventory_records,18_sales_records,210_sales_channels,214_customer_relationship_tools,38_average_margin_profits,193_sales_planning_tools,56_procurement_changes_pandemic,279_changes_procurement_pandemic,162_inventory_extra_space,249_technology_training,263_technology_secure_sales
202,Gift store,Disminuyó 15%,Disminuyó 15%,"En Excel,Software especializado + computadora","En Excel,En papel","Llamada a Teléfono celular,WhatsApp",Ninguna,25%,"Cuaderno,Excel",yes,Ninguna de las anteriores,10%,Totalmente de acuerdo,De acuerdo
203,Grocery store (aka. nanostore),No cambió,No cambió,En Excel,En Excel,"Llamada a Teléfono celular,WhatsApp",Ninguna,20%,Ninguna,yes,Disminuir la cantidad del pedido,30%,Ni de acuerdo ni en desacuerdo,En desacuerdo
204,Grocery store (aka. nanostore),No cambió,No cambió,En Excel,En Excel,"Llamada a Teléfono celular,WhatsApp",Ninguna,20%,Ninguna,yes,Disminuir la cantidad del pedido,30%,Ni de acuerdo ni en desacuerdo,En desacuerdo
205,Micro-restaurant (aka. fondita),No cambió,Aumentó 15%,En papel,"Caja registradora (análoga),En papel","Aplicación móvil (e.g. Rappi, Uber Eats)",Redes sociales,15%,Aplicación móvil,yes,Disminuir la cantidad del pedido,20%,Totalmente de acuerdo,Totalmente de acuerdo
206,Grocery store (aka. nanostore),No cambió,No cambió,No lo hago,Software especializado + computadora,"Llamada a Teléfono celular,Llamada a Teléfono fijo,Página web propia,WhatsApp",Ninguna,15%,Cuaderno,yes,Disminuir la cantidad del pedido,20%,Totalmente de acuerdo,Totalmente de acuerdo
207,Cafeteria,No cambió,No cambió,Software especializado + computadora,Software especializado + computadora,"Redes sociales (e.g. Facebook, Instagram),WhatsApp",Ninguna,15%,Cuaderno,yes,Disminuir la cantidad del pedido,20%,Totalmente de acuerdo,Totalmente de acuerdo
208,Floreria,No cambió,Disminuyó 25%,En papel,En papel,"Aplicación móvil (e.g. Rappi, Uber Eats),Llamada a Teléfono fijo,Página web propia",Redes sociales,15%,Cuaderno,yes,Disminuir la cantidad del pedido,20%,Totalmente de acuerdo,Totalmente de acuerdo
209,Grocery store (aka. nanostore),No cambió,Aumentó 15%,Software especializado + computadora,Software especializado + computadora,"Redes sociales (e.g. Facebook, Instagram)",Software especializado,50% +,"Aplicación móvil,Software especializado",no,Disminuir la frecuencia de pedidos,10%,Totalmente de acuerdo,Totalmente de acuerdo
210,Dairy products,No cambió,Aumentó 15%,Software especializado + computadora,Software especializado + computadora,"Redes sociales (e.g. Facebook, Instagram)",Software especializado,50% +,"Aplicación móvil,Software especializado",no,Disminuir la frecuencia de pedidos,10%,Totalmente de acuerdo,Totalmente de acuerdo
211,Beauty salon,No cambió,No cambió,No lo hago,No lo hago,WhatsApp,Ninguna,5%,Ninguna,no,Disminuir la frecuencia de pedidos,20%,Totalmente en desacuerdo,En desacuerdo
212,Cafeteria,No cambió,No cambió,En Excel,En Excel,WhatsApp,Ninguna,5%,Ninguna,no,Disminuir la frecuencia de pedidos,20%,Totalmente en desacuerdo,En desacuerdo
213,Cafeteria,No cambió,No cambió,Software especializado + computadora,Software especializado + computadora,"Redes sociales (e.g. Facebook, Instagram),WhatsApp",Ninguna,5%,Ninguna,no,Disminuir la frecuencia de pedidos,20%,Totalmente en desacuerdo,En desacuerdo
214,Grocery store (aka. nanostore),No cambió,No cambió,No lo hago,Software especializado + computadora,"Página web propia,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Ninguna,5%,Ninguna,no,Disminuir la frecuencia de pedidos,20%,Totalmente en desacuerdo,En desacuerdo
215,Grocery store (aka. nanostore),Aumentó 50% o más,No cambió,No lo hago,No lo hago,WhatsApp,Ninguna,5%,Ninguna,no,Disminuir la frecuencia de pedidos,40%,Totalmente en desacuerdo,En desacuerdo
216,Technology store,No cambió,No cambió,"En Excel,Software especializado + computadora",Software especializado + computadora,"Redes sociales (e.g. Facebook, Instagram)",Ninguna,5%,Ninguna,no,Disminuir la frecuencia de pedidos,10%,Totalmente en desacuerdo,En desacuerdo
217,Cafeteria,No cambió,No cambió,Software especializado + computadora,Software especializado + computadora,"Redes sociales (e.g. Facebook, Instagram),WhatsApp",Ninguna,5%,Ninguna,no,Disminuir la frecuencia de pedidos,0,Totalmente en desacuerdo,En desacuerdo
218,Cafeteria,No cambió,No cambió,Software especializado + computadora,Software especializado + computadora,"Redes sociales (e.g. Facebook, Instagram),WhatsApp",Ninguna,5%,Ninguna,no,Disminuir la frecuencia de pedidos,0,Totalmente en desacuerdo,En desacuerdo
219,Laundry Store,Aumentó 50% o más,No cambió,No lo hago,No lo hago,"Redes sociales (e.g. Facebook, Instagram)",Ninguna,5%,Ninguna,no,Disminuir la frecuencia de pedidos,0,Totalmente en desacuerdo,En desacuerdo
220,Micro-restaurant (aka. fondita),No cambió,No cambió,En papel,En papel,Presencial,Ninguna,5%,Ninguna,no,Disminuir la frecuencia de pedidos,10%,Totalmente en desacuerdo,En desacuerdo
221,Gift shop,No cambió,No cambió,No lo hago,En Excel,"Página web propia,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Redes sociales,30%,Ninguna,no,Disminuir la frecuencia de pedidos,30%,Totalmente de acuerdo,En desacuerdo
222,Dairy products,No cambió,No cambió,En papel,Software especializado + computadora,"Redes sociales (e.g. Facebook, Instagram)",Redes sociales,30%,Ninguna,no,Disminuir la frecuencia de pedidos,0,Totalmente de acuerdo,En desacuerdo
223,Grocery store (aka. nanostore),Aumentó 25%,Aumentó 15%,Software especializado + computadora,Software especializado + computadora,"Llamada a Teléfono celular,Llamada a Teléfono fijo,WhatsApp",Ninguna,30%,Ninguna,no,Disminuir la frecuencia de pedidos,10%,Totalmente de acuerdo,En desacuerdo
224,Grocery store (aka. nanostore),No cambió,No cambió,Software especializado + computadora,Software especializado + computadora,"Llamada a Teléfono celular,Llamada a Teléfono fijo,Página web propia,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Ninguna,30%,Ninguna,no,Disminuir la frecuencia de pedidos,50% +,Totalmente de acuerdo,De acuerdo
225,Grocery store (aka. nanostore),Aumentó 50% o más,No cambió,En papel,En papel,WhatsApp,Ninguna,30%,Ninguna,no,Disminuir la frecuencia de pedidos,20%,Totalmente de acuerdo,Totalmente de acuerdo
226,Grocery store (aka. nanostore),No cambió,No cambió,Software especializado + computadora,Software especializado + computadora,WhatsApp,Ninguna,30%,Software especializado,no,Disminuir la frecuencia de pedidos,20%,Totalmente de acuerdo,Totalmente de acuerdo
227,Grocery store (aka. nanostore),No cambió,No cambió,Software especializado + computadora,Software especializado + computadora,WhatsApp,Ninguna,30%,Ninguna,no,Disminuir la frecuencia de pedidos,0,Totalmente de acuerdo,Totalmente de acuerdo
228,Dairy products,Aumentó 50% o más,No cambió,Software especializado + computadora,Software especializado + computadora,Ninguno,Aplicación móvil,10%,Software especializado,yes,Disminuir la frecuencia de pedidos,50% +,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo
229,Tailor (sastrería),No cambió,No cambió,Software especializado + computadora,Software especializado + computadora,"Redes sociales (e.g. Facebook, Instagram)","Aplicación móvil,Redes sociales",30%,En físico ,no,Aumentar la cantidad del pedido,20%,De acuerdo,De acuerdo
230,Grocery store (aka. nanostore),No cambió,No cambió,No lo hago,En papel,"Llamada a Teléfono celular,Llamada a Teléfono fijo",Ninguna,10%,Ninguna,no,Aumentar la cantidad del pedido,10%,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo
231,Grocery store (aka. nanostore),No cambió,No cambió,Software especializado + computadora,Software especializado + computadora,No,Ninguna,15%,Ninguna,no,Aumentar la cantidad del pedido,0,Totalmente de acuerdo,En desacuerdo
232,Dairy products,No cambió,No se sabe,"Aplicación móvil (i.e. App) + smartphone,En Excel,En papel,Software especializado + computadora",Software especializado + computadora,Solo por el negocio,Ninguna,20%,Ninguna,no,Aumentar la cantidad del pedido,20%,Totalmente de acuerdo,Totalmente de acuerdo
233,Grocery store (aka. nanostore),No cambió,Aumentó 15%,Software especializado + computadora,Software especializado + computadora,"Aplicación móvil (e.g. Rappi, Uber Eats),Llamada a Teléfono celular","Aplicación móvil,Redes sociales",15%,Software especializado,yes,Aumentar la cantidad del pedido,20%,Totalmente de acuerdo,Totalmente de acuerdo
234,Micro-restaurant (aka. fondita),Aumentó 50% o más,Aumentó 15%,En papel,En papel,"Aplicación móvil (e.g. Rappi, Uber Eats),Llamada a Teléfono celular","Aplicación móvil,Redes sociales",25%,Cuaderno,yes,Aumentar la variedad de productos.,10%,De acuerdo,De acuerdo
235,Productos de Limpieza ,Aumentó 15%,No cambió,En Excel,En Excel,"Llamada a Teléfono celular,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Redes sociales,50% +,Excel,yes,Aumentar la variedad de productos.,10%,De acuerdo,Totalmente de acuerdo
236,Grocery store (aka. nanostore),No cambió,No cambió,No lo hago,No lo hago,ninguno,Ninguna,5%,Ninguna,no,"Aumentar la variedad de productos.,Disminuir la frecuencia de pedidos",30%,Totalmente en desacuerdo,Totalmente en desacuerdo
237,Grocery store (aka. nanostore),No cambió,Disminuyó 15%,No lo hago,En papel,ninguno,Cuaderno,15%,Ninguna,no,"Aumentar la variedad de productos.,Disminuir la frecuencia de pedidos",30%,Totalmente en desacuerdo,Totalmente en desacuerdo
238,Grocery store (aka. nanostore),No cambió,No cambió,En Excel,En Excel,ninguno ,Ninguna,10%,Ninguna,no,"Aumentar la variedad de productos.,Disminuir la frecuencia de pedidos",10%,Totalmente de acuerdo,Totalmente en desacuerdo
239,Ferretería,No cambió,No cambió,En papel,En papel,ninguno ,Cuaderno,25%,"Cuaderno,Ninguna",no,"Aumentar la variedad de productos.,Disminuir la frecuencia de pedidos",10%,Totalmente en desacuerdo,Totalmente en desacuerdo
240,Grocery store (aka. nanostore),No cambió,No cambió,No lo hago,No lo hago,ninguno ,Ninguna,10%,Ninguna,no,"Aumentar la variedad de productos.,Disminuir la frecuencia de pedidos",0,Totalmente en desacuerdo,Totalmente en desacuerdo
241,Produce (fruits & vegetables),Aumentó 15%,No cambió,En Excel,En papel,ninguno ,Redes sociales,10%,Aplicación móvil,no,"Aumentar la variedad de productos.,Disminuir la frecuencia de pedidos",20%,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo
242,Micro-restaurant (aka. fondita),Aumentó 15%,No cambió,En Excel,En papel,ninguno ,Redes sociales,10%,Aplicación móvil,no,"Aumentar la variedad de productos.,Disminuir la frecuencia de pedidos",20%,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo
243,barberia ,Aumentó 15%,No cambió,En Excel,En papel,ninguno ,Redes sociales,10%,Aplicación móvil,no,"Aumentar la variedad de productos.,Disminuir la frecuencia de pedidos",20%,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo
244,Dairy products,Aumentó 15%,No cambió,En Excel,En papel,ninguno ,Redes sociales,10%,Aplicación móvil,no,"Aumentar la variedad de productos.,Disminuir la frecuencia de pedidos",20%,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo
245,Dairy products,Disminuyó 15%,No cambió,Software especializado + computadora,En Excel,Llamada a Teléfono celular,Excel,25%,Cuaderno,no,"Aumentar la variedad de productos.,Disminuir la frecuencia de pedidos",30%,En desacuerdo,De acuerdo
246,Produce (fruits & vegetables),Disminuyó 15%,No cambió,Software especializado + computadora,En Excel,Llamada a Teléfono celular,Excel,25%,Cuaderno,no,"Aumentar la variedad de productos.,Disminuir la frecuencia de pedidos",30%,En desacuerdo,De acuerdo
247,Butcher shop,No cambió,30,Software especializado + computadora,Software especializado + computadora,"Redes sociales (e.g. Facebook, Instagram)",Aplicación móvil,30%,Ninguna,no,"Aumentar la variedad de productos.,Disminuir la frecuencia de pedidos",50% +,Totalmente de acuerdo,Totalmente de acuerdo
248,Grocery store (aka. nanostore),No cambió,Aumentó 15%,ninguno ,No lo hago,WhatsApp,Aplicación móvil,10%,Ninguna,no,"Aumentar la variedad de productos.,Disminuir la frecuencia de pedidos",no se ,De acuerdo,Ni de acuerdo ni en desacuerdo
249,Grocery store (aka. nanostore),Disminuyó 15%,Aumentó 25%,En papel,En papel,"Redes sociales (e.g. Facebook, Instagram),WhatsApp","Aplicación móvil,Redes sociales",5%,Cuaderno,yes,"Aumentar la variedad de productos.,Disminuir la frecuencia de pedidos",0,De acuerdo,Totalmente de acuerdo
250,Estética ,No cambió,Disminuyó 15%,En papel,En papel,Ninguno,Ninguna,15%,Cuaderno,yes,Disminuir la cantidad del pedido,50% +,En desacuerdo,En desacuerdo
251,Produce (fruits & vegetables),No cambió,Disminuyó 15%,En papel,En papel,Ninguno,Ninguna,15%,Cuaderno,yes,Disminuir la cantidad del pedido,50% +,En desacuerdo,En desacuerdo
252,Cafeteria,No cambió,Disminuyó 15%,En papel,En papel,Ninguno,Ninguna,15%,Cuaderno,yes,Disminuir la cantidad del pedido,50% +,En desacuerdo,En desacuerdo
253,heladería ,No cambió,Disminuyó 15%,En papel,En papel,Ninguno,Ninguna,15%,Cuaderno,yes,Disminuir la cantidad del pedido,50% +,En desacuerdo,En desacuerdo
254,Grocery store (aka. nanostore),No cambió,Disminuyó 15%,En papel,En papel,Ninguno,Ninguna,15%,Cuaderno,yes,Disminuir la cantidad del pedido,50% +,En desacuerdo,En desacuerdo
255,Grocery store (aka. nanostore),No cambió,Disminuyó 15%,En papel,En papel,Ninguno,Ninguna,15%,Cuaderno,yes,Disminuir la cantidad del pedido,50% +,En desacuerdo,En desacuerdo
256,Butcher shop,No cambió,Disminuyó 15%,En papel,En papel,Ninguno,Ninguna,15%,Cuaderno,yes,Disminuir la cantidad del pedido,50% +,En desacuerdo,En desacuerdo
257,Produce (fruits & vegetables),No cambió,Disminuyó 15%,En papel,En papel,Ninguno,Ninguna,15%,Cuaderno,yes,Disminuir la cantidad del pedido,50% +,En desacuerdo,En desacuerdo
258,Grocery store (aka. nanostore),Aumentó 15%,No cambió,"En Excel,En papel","En Excel,En papel",WhatsApp,Ninguna,5%,Ninguna,no,Disminuir la cantidad del pedido,50% +,En desacuerdo,En desacuerdo
259,Grocery store (aka. nanostore),Aumentó 15%,No cambió,"En Excel,En papel","En Excel,En papel",WhatsApp,Ninguna,5%,Ninguna,no,Disminuir la cantidad del pedido,50% +,En desacuerdo,En desacuerdo
260,Micro-restaurant (aka. fondita),Aumentó 15%,No cambió,"En Excel,En papel","En Excel,En papel",WhatsApp,Ninguna,5%,Ninguna,no,Disminuir la cantidad del pedido,50% +,En desacuerdo,En desacuerdo
261,Grocery store (aka. nanostore),Aumentó 15%,No cambió,"En Excel,En papel","En Excel,En papel",WhatsApp,Ninguna,5%,Ninguna,no,Disminuir la cantidad del pedido,50% +,En desacuerdo,En desacuerdo
262,Farmacia,Aumentó 50% o más,No cambió,"En Excel,En papel","En Excel,En papel",WhatsApp,Ninguna,5%,Ninguna,no,Disminuir la cantidad del pedido,30%,Ni de acuerdo ni en desacuerdo,De acuerdo
263,Grocery store (aka. nanostore),No cambió,Aumentó 15%,En Excel,"En Excel,En papel",WhatsApp,Ninguna,30%,Excel,no,Disminuir la cantidad del pedido,50% +,De acuerdo,Ni de acuerdo ni en desacuerdo
264,Cake shop ,No cambió,Aumentó 15%,En papel,"Caja registradora (análoga),En papel",Llamada a Teléfono celular,Ninguna,30%,Cuaderno,no,Disminuir la cantidad del pedido,20%,Totalmente en desacuerdo,Totalmente en desacuerdo
265,Ferretería,No cambió,Aumentó 15%,En papel,"Caja registradora (análoga),En papel",Llamada a Teléfono celular,Ninguna,30%,Cuaderno,no,Disminuir la cantidad del pedido,20%,Totalmente en desacuerdo,Totalmente en desacuerdo
266,Restaurant,No cambió,Aumentó 15%,En papel,"Caja registradora (análoga),En papel",Llamada a Teléfono celular,Ninguna,30%,Cuaderno,no,Disminuir la cantidad del pedido,20%,Totalmente en desacuerdo,Totalmente en desacuerdo
267,Micro-restaurant (aka. fondita),No cambió,Aumentó 15%,En papel,"Caja registradora (análoga),En papel",Llamada a Teléfono celular,Ninguna,30%,Cuaderno,no,Disminuir la cantidad del pedido,20%,Totalmente en desacuerdo,Totalmente en desacuerdo
268,Dairy products,No cambió,Aumentó 15%,En papel,"Caja registradora (análoga),En papel",Llamada a Teléfono celular,Ninguna,30%,Cuaderno,no,Disminuir la cantidad del pedido,20%,Totalmente en desacuerdo,Totalmente en desacuerdo
269,Butcher shop,No cambió,Aumentó 15%,En papel,"Caja registradora (análoga),En papel",Llamada a Teléfono celular,Ninguna,30%,Cuaderno,no,Disminuir la cantidad del pedido,20%,Totalmente en desacuerdo,Totalmente en desacuerdo
270,Grocery store (aka. nanostore),No cambió,Aumentó 15%,Software especializado + computadora,Software especializado + computadora,Ninguno ,Ninguna,15%,Excel,no,Disminuir la cantidad del pedido,20%,Totalmente de acuerdo,De acuerdo
271,Grocery store (aka. nanostore),No cambió,Aumentó 15%,Software especializado + computadora,Software especializado + computadora,Ninguno ,Ninguna,15%,Excel,no,Disminuir la cantidad del pedido,20%,Totalmente de acuerdo,De acuerdo
272,Grocery store (aka. nanostore),No cambió,No cambió,En papel,En papel,Ninguno ,Aplicación móvil,5%,Aplicación móvil,yes,Disminuir la cantidad del pedido,50% +,Totalmente de acuerdo,Totalmente de acuerdo
273,Micro-restaurant (aka. fondita),No cambió,Aumentó 15%,Software especializado + computadora,Software especializado + computadora,"Aplicación móvil (e.g. Rappi, Uber Eats),Llamada a Teléfono celular,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Aplicación móvil,30%,Software especializado,yes,Disminuir la cantidad del pedido,50% +,Totalmente de acuerdo,Totalmente de acuerdo
274,Micro-restaurant (aka. fondita),No cambió,No cambió,En papel,"Aplicación móvil (i.e. App) + smartphone,Software especializado + computadora",WhatsApp,Aplicación móvil,30%,Ninguna,no,Aumentar la cantidad del pedido,0,Totalmente en desacuerdo,Totalmente en desacuerdo
275,Micro-restaurant (aka. fondita),No cambió,Aumentó 50% o más,"En Excel,En papel,Software especializado + computadora",En Excel,"Llamada a Teléfono celular,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Ninguna,30%,Ninguna,no,Aumentar la cantidad del pedido,0,Totalmente en desacuerdo,Totalmente en desacuerdo
276,Dairy products,Disminuyó 15%,No cambió,Software especializado + computadora,Caja registradora (análoga),Llamada a Teléfono fijo,Redes sociales,40%,Ninguna,no,Aumentar la cantidad del pedido,50% +,Totalmente de acuerdo,Totalmente de acuerdo
277,Grocery store (aka. nanostore),No cambió,No cambió,Software especializado + computadora,Software especializado + computadora,"Llamada a Teléfono celular,Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Redes sociales,25%,Software especializado,no,Aumentar la cantidad del pedido,20%,Totalmente de acuerdo,Totalmente de acuerdo
278,Dairy products,Disminuyó 15%,No cambió,En Excel,Software especializado + computadora,"Redes sociales (e.g. Facebook, Instagram)",Redes sociales,50% +,Ninguna,no,Aumentar la cantidad del pedido,30%,Totalmente de acuerdo,Totalmente de acuerdo
279,Butcher shop,No cambió,Disminuyó 15%,En Excel,"Aplicación móvil (i.e. App) + smartphone,Caja registradora (análoga),En Excel,Software especializado + computadora","Llamada a Teléfono celular,WhatsApp",Aplicación móvil,30%,Aplicación móvil,yes,Aumentar la cantidad del pedido,10%,Totalmente de acuerdo,Totalmente de acuerdo
280,Dairy products,No cambió,No cambió,En Excel,Software especializado + computadora,WhatsApp,Ninguna,45%,Excel,no,Ninguna de las anteriores,50% +,Totalmente de acuerdo,Totalmente de acuerdo
281,Dairy products,Aumentó 15%,No cambió,Software especializado + computadora,Software especializado + computadora,"Página web propia,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Software especializado,50% +,Software especializado,yes,Ninguna de las anteriores,50% +,Totalmente de acuerdo,Totalmente de acuerdo
282,Dairy products,No cambió,No cambió,Software especializado + computadora,Caja registradora (análoga),Llamada a Teléfono fijo,Ninguna,30%,Software especializado,no,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",10%,Totalmente de acuerdo,Totalmente de acuerdo
283,Toolshop,Disminuyó 15%,No cambió,En Excel,En Excel,"Redes sociales (e.g. Facebook, Instagram)","Aplicación móvil,Redes sociales",10%,Ninguna,no,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",50% +,Totalmente de acuerdo,Totalmente de acuerdo
284,Lavanderia,No cambió,Aumentó 15%,En papel,En papel,"Aplicación móvil (e.g. Rappi, Uber Eats),WhatsApp",Redes sociales,35%,Ninguna,no,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",0,Totalmente en desacuerdo,Ni de acuerdo ni en desacuerdo
285,Micro-restaurant (aka. fondita),No cambió,Aumentó 15%,En papel,En papel,"Aplicación móvil (e.g. Rappi, Uber Eats),WhatsApp",Redes sociales,35%,Ninguna,no,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",0,Totalmente en desacuerdo,Ni de acuerdo ni en desacuerdo
286,Grocery store (aka. nanostore),No cambió,No cambió,Aplicación móvil (i.e. App) + smartphone,Aplicación móvil (i.e. App) + smartphone,WhatsApp,Ninguna,15%,Ninguna,no,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",30%,De acuerdo,Ni de acuerdo ni en desacuerdo
287,Grocery store (aka. nanostore),No cambió,No cambió,Aplicación móvil (i.e. App) + smartphone,Aplicación móvil (i.e. App) + smartphone,WhatsApp,Ninguna,15%,Ninguna,no,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",30%,De acuerdo,Ni de acuerdo ni en desacuerdo
288,Clothes store,No cambió,Aumentó 15%,No lo hago,No lo hago,"Llamada a Teléfono celular,WhatsApp",Ninguna,25%,Ninguna,yes,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",10%,Totalmente en desacuerdo,Totalmente en desacuerdo
289,Micro-restaurant (aka. fondita),No cambió,Aumentó 15%,No lo hago,No lo hago,"Llamada a Teléfono celular,WhatsApp",Ninguna,25%,Ninguna,yes,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",10%,Totalmente en desacuerdo,Totalmente en desacuerdo
290,Dishes,No cambió,No cambió,Software especializado + computadora,Software especializado + computadora,"Llamada a Teléfono celular,Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Redes sociales,20%,Software especializado,no,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",0,De acuerdo,Ni de acuerdo ni en desacuerdo
291,Clothes,No cambió,No cambió,Software especializado + computadora,Software especializado + computadora,"Llamada a Teléfono celular,Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Redes sociales,20%,Software especializado,no,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",0,De acuerdo,Ni de acuerdo ni en desacuerdo
292,Tailor,No cambió,No cambió,Software especializado + computadora,Software especializado + computadora,"Llamada a Teléfono celular,Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Redes sociales,20%,Software especializado,no,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",0,De acuerdo,Ni de acuerdo ni en desacuerdo
293,Grocery store (aka. nanostore),Aumentó 15%,No cambió,No lo hago,No lo hago,WhatsApp,Aplicación móvil,20%,Ninguna,no,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",10%,De acuerdo,Ni de acuerdo ni en desacuerdo
294,Grocery store (aka. nanostore),No cambió,No cambió,En Excel,Software especializado + computadora,"Redes sociales (e.g. Facebook, Instagram),WhatsApp",Redes sociales,20%,Ninguna,no,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",10%,De acuerdo,Ni de acuerdo ni en desacuerdo
295,Grocery store (aka. nanostore),No cambió,No cambió,Software especializado + computadora,Software especializado + computadora,Llamada a Teléfono fijo,Teléfono,20%,Ninguna,yes,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",0,De acuerdo,Ni de acuerdo ni en desacuerdo
296,Grocery store (aka. nanostore),No cambió,No cambió,En papel,En papel,Llamada a Teléfono celular,Redes sociales,20%,Software especializado,yes,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",0,De acuerdo,Ni de acuerdo ni en desacuerdo
297,Cafeteria,No cambió,No cambió,Software especializado + computadora,Software especializado + computadora,WhatsApp,Redes sociales,20%,Software especializado,no,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",40%,De acuerdo,Ni de acuerdo ni en desacuerdo
298,Technology Store,No cambió,No cambió,En Excel,No lo hago,WhatsApp,Redes sociales,20%,Software especializado,no,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",20%,De acuerdo,Ni de acuerdo ni en desacuerdo
299,Grocery store (aka. nanostore),Aumentó 50% o más,No cambió,"En Excel,En papel",En papel,"Redes sociales (e.g. Facebook, Instagram)",Redes sociales,20%,Software especializado,no,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",20%,De acuerdo,De acuerdo
300,Retailer store,No cambió,No cambió,Software especializado + computadora,Software especializado + computadora,"Redes sociales (e.g. Facebook, Instagram)",Redes sociales,20%,Ninguna,no,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",20%,De acuerdo,De acuerdo
301,Grocery store (aka. nanostore),Aumentó 25%,No cambió,No lo hago,No lo hago,"Llamada a Teléfono celular,Llamada a Teléfono fijo,WhatsApp",Redes sociales,20%,Ninguna,no,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",0,De acuerdo,De acuerdo
302,Grocery store (aka. nanostore),No cambió,Dependiente ,Software especializado + computadora,Aplicación móvil (i.e. App) + smartphone,"Llamada a Teléfono celular,WhatsApp",Redes sociales,20%,Ninguna,no,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",40%,De acuerdo,De acuerdo
303,Ferretería ,No cambió,Aumentó 15%,En papel,Caja registradora (análoga),"Llamada a Teléfono celular,WhatsApp",Redes sociales,5%,Ninguna,no,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",0,De acuerdo,De acuerdo
304,Butcher shop,No cambió,No cambió,En papel,En papel,"Llamada a Teléfono celular,WhatsApp",Ninguna,5%,Ninguna,no,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",0,De acuerdo,En desacuerdo
305,Dulceria ,No cambió,No cambió,Software especializado + computadora,Software especializado + computadora,"Redes sociales (e.g. Facebook, Instagram),WhatsApp",Redes sociales,40%,Software especializado,no,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",10%,Totalmente de acuerdo,Totalmente en desacuerdo
306,Pet store,No cambió,Disminuyó 25%,En Excel,"Aplicación móvil (i.e. App) + smartphone,Caja registradora (análoga)","Redes sociales (e.g. Facebook, Instagram)","Aplicación móvil,Redes sociales",40%,Software especializado,yes,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",10%,Totalmente de acuerdo,Totalmente de acuerdo
307,Micro-restaurant (aka. fondita),No cambió,Aumentó 25%,No lo hago,No lo hago,"Llamada a Teléfono celular,WhatsApp","Aplicación móvil,Redes sociales",30%,Ninguna,yes,"Aumentar la variedad de productos.,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",0,De acuerdo,Totalmente en desacuerdo
308,Micro-restaurant (aka. fondita),No cambió,No cambió,En papel,En papel,"Llamada a Teléfono celular,Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Ninguna,5%,Cuaderno,yes,Disminuir la cantidad del pedido,0,De acuerdo,De acuerdo
309,Cosmetiquera ,No cambió,No cambió,En Excel,En Excel,"Llamada a Teléfono celular,Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram),WhatsApp","Cuaderno,Redes sociales",5%,Ninguna,yes,Disminuir la cantidad del pedido,30%,De acuerdo,De acuerdo
